epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,5932.1,0.64468,4.70686,0.22702,0.4924,0.01686,2.29192,0.95769,0.96508,0.98642,0.81882,0.85815,0.80489,0.80485,0.64923,0.4855,2.90057,0.06582,0.29953,0.01649,0,0.00173168,0.00173168,0.00173168
26,6164.3,0.63066,4.57511,0.22572,0.4739,0.0165,2.16316,0.96494,0.96094,0.98731,0.8252,0.85129,0.80795,0.80594,0.6492,0.47312,2.87362,0.06414,0.27602,0.01593,0,0.00171004,0.00171004,0.00171004
27,6395.29,0.63212,4.54025,0.22438,0.46799,0.01661,2.15396,0.96466,0.96356,0.98749,0.8242,0.85632,0.8198,0.81757,0.66529,0.47715,2.79946,0.06292,0.28055,0.01626,0,0.0016877,0.0016877,0.0016877
28,6625.61,0.62722,4.48535,0.2215,0.47104,0.01637,2.06929,0.96579,0.96419,0.98824,0.82675,0.85596,0.81025,0.81272,0.66288,0.47338,2.82207,0.06035,0.27826,0.01599,0,0.0016647,0.0016647,0.0016647
29,6857.66,0.62516,4.45994,0.22199,0.473,0.01638,2.04979,0.95891,0.96699,0.98799,0.82917,0.85102,0.81605,0.80867,0.66005,0.46744,2.81843,0.06169,0.28101,0.0158,0,0.00164105,0.00164105,0.00164105
30,7088.21,0.62603,4.4599,0.21744,0.46875,0.01636,2.03032,0.96493,0.96434,0.98787,0.83101,0.84891,0.82133,0.81403,0.66486,0.463,2.7844,0.06004,0.28076,0.0156,0,0.00161678,0.00161678,0.00161678
31,7319.4,0.61219,4.29785,0.21346,0.45919,0.01597,1.8973,0.96544,0.96827,0.98793,0.83435,0.85378,0.82148,0.81622,0.67176,0.45707,2.73719,0.0583,0.27348,0.01532,0,0.00159191,0.00159191,0.00159191
32,7549.84,0.61571,4.30039,0.21398,0.45535,0.01592,1.82293,0.9652,0.96623,0.98801,0.83694,0.85695,0.82465,0.82523,0.67745,0.45218,2.67319,0.0581,0.27168,0.0151,0,0.00156646,0.00156646,0.00156646
33,7782.02,0.6075,4.26729,0.21273,0.45021,0.01574,1.79107,0.96667,0.96789,0.98832,0.83776,0.86179,0.82479,0.82588,0.67817,0.45145,2.67283,0.05882,0.26696,0.0151,0,0.00154047,0.00154047,0.00154047
34,8018.55,0.61133,4.24069,0.21182,0.45512,0.01595,1.80742,0.96717,0.96495,0.98805,0.83966,0.85737,0.82401,0.8219,0.67694,0.44833,2.69942,0.05839,0.26357,0.01496,0,0.00151395,0.00151395,0.00151395
