epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,5028.21,0.87103,2.84506,0.25575,0.43879,0.01517,2.0081,0.96911,0.96765,0.98881,0.85418,0.88375,0.84109,0.84618,0.68728,0.63001,1.6765,0.07682,0.26496,0.01383,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5258.93,0.85742,2.79388,0.25432,0.42775,0.01498,1.92824,0.96896,0.97069,0.98919,0.85585,0.87711,0.8395,0.84137,0.69066,0.62529,1.68675,0.07517,0.25493,0.01373,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5489.52,0.84585,2.71812,0.25057,0.4261,0.01466,1.82124,0.96662,0.96967,0.98889,0.85735,0.87304,0.83338,0.83633,0.69109,0.61781,1.67801,0.07354,0.25157,0.01355,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5718.72,0.84317,2.70729,0.25115,0.42788,0.01459,1.78058,0.9693,0.96968,0.98951,0.86221,0.87306,0.8458,0.84256,0.69383,0.60833,1.64883,0.07133,0.24929,0.01334,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5949.25,0.84221,2.66821,0.24398,0.41692,0.01462,1.7147,0.97409,0.97196,0.99043,0.86294,0.88289,0.85312,0.8494,0.69959,0.60765,1.60913,0.07033,0.24055,0.0133,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6180.08,0.82871,2.61525,0.24584,0.40885,0.0143,1.63541,0.968,0.97286,0.98987,0.86615,0.88057,0.84287,0.84692,0.70332,0.59732,1.60936,0.06986,0.24159,0.01306,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,6409.74,0.82235,2.54002,0.24282,0.4038,0.01427,1.52442,0.97199,0.97273,0.98993,0.86687,0.88099,0.8625,0.8621,0.71356,0.59949,1.55648,0.06805,0.23876,0.01321,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6638.95,0.8128,2.50751,0.2394,0.40348,0.01398,1.42113,0.97052,0.97341,0.99047,0.8683,0.88105,0.85753,0.857,0.71124,0.58876,1.55319,0.06829,0.23617,0.01281,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6870.43,0.81066,2.49142,0.23874,0.39731,0.01392,1.37979,0.97282,0.97464,0.99074,0.86996,0.88825,0.85997,0.86368,0.72027,0.58461,1.52258,0.0675,0.22905,0.01273,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7101.44,0.80722,2.46392,0.23573,0.40378,0.01396,1.36352,0.97508,0.97224,0.99095,0.87006,0.87874,0.86313,0.8627,0.71961,0.58182,1.52654,0.07039,0.22834,0.01269,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7331.12,0.79501,2.40936,0.23495,0.39837,0.01366,1.3103,0.97224,0.974,0.99083,0.86971,0.88187,0.8588,0.8597,0.71875,0.58151,1.52421,0.06666,0.22579,0.01268,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7560.65,0.79849,2.40018,0.23272,0.39248,0.01362,1.23688,0.97169,0.97542,0.99092,0.87261,0.89014,0.85913,0.86441,0.72291,0.5773,1.50121,0.0655,0.22179,0.01253,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7793.35,0.78922,2.36443,0.23247,0.38393,0.0135,1.19785,0.97436,0.97351,0.99087,0.87343,0.88556,0.86721,0.8657,0.72648,0.57768,1.49167,0.06566,0.22428,0.01258,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8031.34,0.78477,2.32695,0.22966,0.37626,0.0135,1.13471,0.97488,0.97235,0.99089,0.87589,0.89288,0.86781,0.86731,0.72941,0.57317,1.4725,0.06401,0.21806,0.01245,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8276.31,0.77257,2.28045,0.22797,0.37492,0.01327,1.04793,0.97299,0.97349,0.99071,0.8769,0.89192,0.87205,0.8749,0.73597,0.56748,1.44576,0.06273,0.22188,0.01233,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8519.6,0.76549,2.23551,0.22613,0.37147,0.01305,0.95822,0.97324,0.97349,0.99075,0.87743,0.89744,0.87312,0.87687,0.73577,0.5613,1.42165,0.06169,0.22365,0.01217,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,8761.7,0.75773,2.21708,0.2256,0.36559,0.01293,0.89608,0.97446,0.97426,0.99125,0.87809,0.90076,0.87217,0.87755,0.73765,0.56352,1.42876,0.06068,0.21892,0.01221,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9005.14,0.75104,2.17651,0.22383,0.35656,0.01283,0.86741,0.97565,0.97719,0.99137,0.87895,0.90195,0.87333,0.87862,0.74013,0.5616,1.4087,0.05923,0.21317,0.01216,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9248.48,0.75073,2.16413,0.22043,0.36145,0.01278,0.81515,0.97572,0.97655,0.99169,0.88053,0.90449,0.87295,0.87925,0.74119,0.55551,1.39819,0.05812,0.21158,0.01199,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9490.14,0.73484,2.11837,0.21986,0.35176,0.01248,0.77609,0.97593,0.97846,0.99174,0.88113,0.9087,0.87995,0.8884,0.74413,0.55416,1.37008,0.05752,0.20965,0.01195,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,9760.4,0.59048,1.47228,0.08557,0.22184,0.01356,1.24415,0.9765,0.97617,0.99186,0.88404,0.90931,0.88327,0.8896,0.74619,0.54762,1.35628,0.05027,0.20494,0.01177,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10001.8,0.57011,1.40157,0.0801,0.20968,0.01293,1.08975,0.97571,0.97774,0.99201,0.88561,0.90906,0.88538,0.89094,0.75021,0.54061,1.34045,0.04543,0.20254,0.01159,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10238.4,0.55861,1.35712,0.07957,0.20669,0.01259,0.97286,0.975,0.97912,0.99193,0.88674,0.91368,0.88607,0.89181,0.75287,0.53622,1.32805,0.04235,0.1987,0.01146,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10480.3,0.54995,1.32313,0.07651,0.20021,0.01234,0.8979,0.9787,0.9763,0.99194,0.88766,0.91757,0.88467,0.89209,0.75391,0.53314,1.31348,0.0404,0.19515,0.01139,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,10726.4,0.53675,1.29508,0.07544,0.1964,0.01199,0.82411,0.97906,0.97738,0.99213,0.88889,0.91764,0.89028,0.89896,0.7581,0.52956,1.30116,0.03872,0.19193,0.0113,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,10956.6,0.53323,1.26679,0.07318,0.19357,0.01193,0.77506,0.97721,0.97825,0.99216,0.88924,0.92015,0.88938,0.90025,0.75937,0.52625,1.29163,0.03749,0.19188,0.01122,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11187.6,0.52227,1.24009,0.07381,0.18902,0.01159,0.71063,0.97694,0.97702,0.99215,0.89047,0.91639,0.89461,0.90164,0.7599,0.52272,1.28436,0.03648,0.19263,0.01114,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11417.2,0.51609,1.21433,0.07232,0.18597,0.01146,0.64924,0.97622,0.97819,0.99236,0.89109,0.9173,0.89639,0.90208,0.76112,0.52072,1.27794,0.03569,0.19237,0.01109,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,11648.8,0.50845,1.19004,0.07108,0.18147,0.01127,0.59693,0.97609,0.97846,0.9922,0.89119,0.92134,0.89066,0.9023,0.7619,0.51994,1.2733,0.03483,0.19002,0.01107,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,11883.5,0.50459,1.17351,0.07077,0.18143,0.01119,0.56192,0.97685,0.9791,0.9923,0.89212,0.91685,0.89716,0.9025,0.76236,0.51842,1.26802,0.03404,0.18889,0.01103,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
